ngsl_rank,ngsl_band,term,phonetic,definition_vi,part_of_speech,all_pos,level,track,is_function_word,family_size,word_family,needs_review
637,1000,pretty,/ˈprɪti/,"xinh, đẹp, xinh xắn",Adjective,Adjective|Noun|Adverb,A2,Kids,0,5,pretties prettying prettier prettiest,0
638,1000,recently,/ˈriːsəntli/,"gần đây, mới đây",Adverb,Adverb,A2,Kids,0,1,,0
639,1000,affect,/əˈfɛkt/,"ảnh hưởng, tác động đến",Verb,Verb|Noun,A2,Kids,0,4,affects affected affecting,0
640,1000,drop,/drɑːp/,"rơi, làm rơi; giảm, tụt",Verb,Noun|Verb,A2,Kids,0,4,drops dropped dropping,1
641,1000,recent,/ˈriːsənt/,"gần đây, mới đây, mới xảy ra",Adjective,Adjective,A2,Kids,0,1,,0
642,1000,relate,/rɪˈleɪt/,"liên quan, có liên hệ; kể lại",Verb,Verb,A2,Kids,0,4,relates related relating,1
643,1000,official,/əˈfɪʃəl/,"chính thức, mang tính chính thức",Adjective,Adjective|Noun,A2,Kids,0,2,officials,0
644,1000,financial,/fəˈnænʃəl/,"thuộc tài chính, về tài chính",Adjective,Adjective,A2,Kids,0,2,financials,0
645,1000,miss,/mɪs/,"nhớ, bỏ lỡ, trượt, lỡ",Verb,Noun|Verb,A2,Kids,0,4,misses missed missing,0
646,1000,art,/ɑːrt/,"nghệ thuật, mỹ thuật",Noun,Noun,A2,Kids,0,2,arts,0
647,1000,campaign,/kæmˈpeɪn/,"chiến dịch, cuộc vận động",Noun,Noun|Verb,A2,Kids,0,4,campaigns campaigned campaigning,0
648,1000,private,/ˈpraɪvət/,"riêng, riêng tư, tư nhân",Adjective,Adjective|Noun,A2,Kids,0,1,,0
649,1000,pause,/pɔːz/,"tạm dừng, ngừng lại, dừng một lát",Verb,Noun|Verb,A2,Kids,0,4,pauses paused pausing,0
650,1000,everyone,/ˈɛvriˌwʌn/,"mọi người, tất cả mọi người",Pronoun,Pronoun|Noun,A2,Grammar,1,1,,0
651,1000,forget,/fərˈɡɛt/,"quên, lãng quên, bỏ quên",Verb,Verb,A2,Kids,0,5,forgets forgot forgetting forgotten,0
652,1000,page,/peɪdʒ/,"trang, trang giấy, trang sách",Noun,Noun|Verb,A2,Kids,0,4,pages paged paging,0
653,1000,worry,/ˈwɜːri/,"lo lắng, lo, băn khoăn",Verb,Noun|Verb,A2,Kids,0,4,worries worried worrying,0
654,1000,summer,/ˈsʌmər/,"mùa hè, mùa hạ, hè",Noun,Noun|Verb,A2,Kids,0,3,summers summered,0
655,1000,drink,/drɪŋk/,"uống, uống rượu, nhấp",Verb,Noun|Verb,A2,Kids,0,4,drinks drank drinking,0
656,1000,opinion,/əˈpɪnjən/,"ý kiến, quan điểm, nhận định",Noun,Noun,A2,Kids,0,3,opinions opinioned,0
657,1000,park,/pɑːrk/,"công viên, vườn hoa, khu vui chơi",Noun,Noun|Verb,A2,Kids,0,4,parks parked parking,0
658,1000,represent,/ˌrɛprɪˈzɛnt/,"đại diện, tượng trưng, thể hiện",Verb,Verb,A2,Kids,0,4,represents represented representing,0
659,1000,key,/kiː/,"chìa khóa; phím, then chốt",Noun,Noun|Verb,A2,Kids,0,4,keys keyed keying,1
660,1000,inside,/ˌɪnˈsaɪd/,"bên trong, phía trong, mặt trong",Noun,Noun|Adjective|Preposition,A2,Kids,0,2,insides,0
661,1000,manager,/ˈmænədʒər/,"người quản lý, giám đốc, trưởng phòng",Noun,Noun,A2,Kids,0,2,managers,0
662,1000,international,/ˌɪntərˈnæʃənəl/,"quốc tế, thuộc quốc tế",Adjective,Adjective|Noun,A2,Kids,0,2,internationals,0
663,1000,contain,/kənˈteɪn/,"chứa, chứa đựng, bao gồm",Verb,Verb,A2,Kids,0,4,contains contained containing,0
664,1000,notice,/ˈnoʊtəs/,"nhận thấy, để ý, chú ý",Verb,Noun|Verb,A2,Kids,0,4,notices noticed noticing,0
665,1000,wonder,/ˈwʌndər/,"tự hỏi, thắc mắc, ngạc nhiên",Verb,Noun|Verb,A2,Kids,0,5,wonders wondered wondering wonderings,0
666,1000,nature,/ˈneɪtʃər/,"thiên nhiên, tự nhiên; bản chất",Noun,Noun,A2,Kids,0,3,natures natured,1
667,1000,structure,/ˈstrʌktʃər/,"cấu trúc, kết cấu, công trình",Noun,Noun,A2,Kids,0,4,structures structured structuring,0
668,1000,section,/ˈsɛkʃən/,"phần, mục, khu vực, đoạn",Noun,Noun|Verb,A2,Kids,0,4,sections sectioned sectioning,0
669,1000,myself,/ˌmaɪˈsɛlf/,"chính tôi, bản thân tôi",Pronoun,Pronoun,A2,Grammar,1,1,,0
670,1000,exactly,/ɪɡˈzæktli/,"chính xác, đúng, đích thị",Adverb,Adverb,A2,Kids,0,1,,0
671,1000,plant,/plænt/,"cây, thực vật; nhà máy",Noun,Noun|Verb,A2,Kids,0,5,plants planted planting plantings,1
672,1000,paint,/peɪnt/,"sơn, quét sơn, vẽ",Verb,Noun|Verb,A2,Kids,0,5,paints painted painting paintings,0
673,1000,worker,/ˈwɜːrkər/,"công nhân, người lao động",Noun,Noun,A2,Kids,0,2,workers,0
674,1000,press,/prɛs/,"ấn, nhấn, ép, thúc ép",Verb,Noun|Verb,A2,Kids,0,5,presses pressed pressing pressings,0
675,1000,whatever,/ˌwʌˈtɛvər/,"bất cứ cái gì, bất kể điều gì",Pronoun,Pronoun|Adjective|Noun,A2,Grammar,1,1,,0
676,1000,necessary,/ˈnɛsəˌsɛri/,"cần thiết, cần, thiết yếu",Adjective,Adjective|Noun,A2,Kids,0,2,necessaries,0
677,1000,region,/ˈriːdʒən/,"vùng, khu vực, miền",Noun,Noun,A2,Kids,0,2,regions,0
678,1000,growth,/ɡroʊθ/,"sự tăng trưởng, sự phát triển",Noun,Noun,A2,Kids,0,2,growths,0
679,1000,evening,/ˈiːvnɪŋ/,"buổi tối, buổi chiều tối",Noun,Noun,A2,Kids,0,2,evenings,0
680,1000,influence,/ˈɪnfluəns/,"ảnh hưởng, sự tác động",Noun,Noun,A2,Kids,0,4,influences influenced influencing,0
681,1000,respect,/rɪˈspɛkt/,"tôn trọng, kính trọng, kính nể",Verb,Noun|Verb,A2,Kids,0,4,respects respected respecting,0
682,1000,various,/ˈvɛriəs/,"khác nhau, nhiều, đa dạng",Adjective,Adjective,A2,Kids,0,1,,0
683,1000,catch,/kætʃ/,"bắt, chộp, bắt kịp, tóm",Verb,Noun|Verb,A2,Kids,0,4,catches caught catching,0
684,1000,thus,/ðʌs/,"do đó, vì vậy, như vậy",Adverb,Adverb,A2,Kids,0,1,,0
685,1000,skill,/skɪl/,"kỹ năng, tay nghề, kỹ xảo",Noun,Noun|Verb,A2,Kids,0,3,skills skilled,0
686,1000,attempt,/əˈtɛmpt/,"cố gắng, thử, mưu toan",Verb,Noun|Verb,A2,Kids,0,4,attempts attempted attempting,0
687,1000,son,/sʌn/,"con trai, đứa con trai",Noun,Noun,A2,Kids,0,2,sons,0
688,1000,simple,/ˈsɪmpəl/,"đơn giản, giản dị, dễ",Adjective,Adjective|Noun,A2,Kids,0,3,simpler simplest,0
689,1000,medium,/ˈmiːdiəm/,phương tiện truyền thông; cỡ vừa,Noun,Noun|Adjective,A2,Kids,0,2,mediums,1
690,1000,average,/ˈævərɪdʒ/,"trung bình, thường, xoàng",Adjective,Noun|Adjective|Verb,A2,Kids,0,4,averages averaged averaging,0
691,1000,stock,/stɑːk/,cổ phiếu; hàng dự trữ,Noun,Noun|Verb,A2,Kids,0,4,stocks stocked stocking,1
692,1000,management,/ˈmænədʒmənt/,"sự quản lý, ban quản lý, ban giám đốc",Noun,Noun,A2,Kids,0,2,managements,0
693,1000,character,/ˈkɛrɪktər/,"nhân vật; tính cách, ký tự",Noun,Noun,A2,Kids,0,2,characters,1
694,1000,bed,/bɛd/,"giường, cái giường, giường ngủ",Noun,Noun|Verb,A2,Kids,0,5,beds bedded bedding beddings,0
695,1000,hit,/hɪt/,"đánh, đập, va vào, trúng",Verb,Noun|Verb,A2,Kids,0,3,hits hitting,0
696,1000,establish,/ɪˈstæblɪʃ/,"thành lập, thiết lập, xác lập",Verb,Verb,A2,Kids,0,4,establishes established establishing,0
697,1000,indeed,/ˌɪnˈdiːd/,"thật vậy, quả thật, thực sự",Adverb,Adverb,A2,Kids,0,1,,0
698,1000,final,/ˈfaɪnəl/,"cuối cùng, sau chót, chung kết",Adjective,Adjective|Noun,A2,Kids,0,2,finals,0
699,1000,economy,/ɪˈkɑːnəmi/,"nền kinh tế, kinh tế",Noun,Noun,A2,Kids,0,2,economies,0
700,1000,fit,/fɪt/,"vừa, vừa vặn, phù hợp",Verb,Noun|Adjective|Verb,A2,Kids,0,7,fits fitted fitting fitter fittest fittings,0
701,1000,guy,/ɡaɪ/,"gã, anh chàng, chàng trai",Noun,Noun|Verb,A2,Kids,0,4,guys guyed guying,0
702,1000,function,/ˈfʌŋkʃən/,"chức năng, công dụng; hàm số",Noun,Noun|Verb,A2,Kids,0,4,functions functioned functioning,1
703,1000,yesterday,/ˈjɛstərˌdeɪ/,"hôm qua, ngày hôm qua",Noun,Noun,A2,Kids,0,2,yesterdays,0
704,1000,image,/ˈɪmədʒ/,"hình ảnh, bức ảnh, hình tượng",Noun,Noun|Verb,A2,Kids,0,4,images imaged imaging,0
705,1000,size,/saɪz/,"kích thước, kích cỡ, cỡ số",Noun,Noun|Verb,A2,Kids,0,4,sizes sized sizing,0
706,1000,behavior,/bɪˈheɪvjər/,"hành vi, cách cư xử, thái độ",Noun,Noun,A2,Kids,0,4,behaviors behaviour behaviours,0
707,1000,addition,/əˈdɪʃən/,"sự thêm vào, phần bổ sung; phép cộng",Noun,Noun,A2,Kids,0,2,additions,1
708,1000,determine,/dəˈtɜːrmən/,"xác định, quyết định, định đoạt",Verb,Verb,A2,Kids,0,4,determines determined determining,0
709,1000,station,/ˈsteɪʃən/,"nhà ga, trạm, đài",Noun,Noun|Verb,A2,Kids,0,4,stations stationed stationing,0
710,1000,population,/ˌpɑːpjəˈleɪʃən/,"dân số, dân cư, số dân",Noun,Noun,A2,Kids,0,2,populations,0
711,1000,fail,/feɪl/,"thất bại, hỏng, trượt",Verb,Noun|Verb,A2,Kids,0,5,fails failed failing failings,0
712,1000,environment,/ɪnˈvaɪrənmənt/,"môi trường, hoàn cảnh xung quanh",Noun,Noun,A2,Kids,0,2,environments,0
713,1000,production,/prəˈdʌkʃən/,"sự sản xuất, sản lượng, quá trình chế tạo",Noun,Noun,A2,Kids,0,2,productions,0
714,1000,contract,/ˈkɑːnˌtrækt/,"hợp đồng, khế ước, giao kèo",Noun,Noun|Verb,A2,Kids,0,4,contracts contracted contracting,0
715,1000,player,/ˈpleɪər/,"người chơi, cầu thủ, đấu thủ",Noun,Noun,A2,Kids,0,2,players,0
716,1000,comment,/ˈkɑːmɛnt/,"lời bình luận, nhận xét, ý kiến",Noun,Noun|Verb,A2,Kids,0,4,comments commented commenting,0
717,1000,enter,/ˈɛntər/,"đi vào, bước vào, nhập vào",Verb,Verb,A2,Kids,0,4,enters entered entering,0
718,1000,occur,/əˈkɜːr/,"xảy ra, diễn ra, phát sinh",Verb,Verb,A2,Kids,0,4,occurs occurred occurring,0
719,1000,alone,/əˈloʊn/,"một mình, đơn độc, cô đơn",Adjective,Adjective,A2,Kids,0,1,,0
720,1000,significant,/səɡˈnɪfɪkənt/,"quan trọng, đáng kể, có ý nghĩa",Adjective,Adjective,A2,Kids,0,1,,0
721,1000,drug,/drʌɡ/,"thuốc, dược phẩm; ma túy",Noun,Noun|Verb,A2,Kids,0,4,drugs drugged drugging,1
722,1000,wall,/wɔːl/,"bức tường, vách, tường rào",Noun,Noun|Verb,A2,Kids,0,4,walls walled walling,0
723,1000,series,/ˈsɪriz/,"chuỗi, loạt, dãy liên tiếp",Noun,Noun,A2,Kids,0,1,,0
724,1000,direct,/dərˈɛkt/,"trực tiếp, thẳng, thẳng thắn",Adjective,Verb|Adjective|Adverb,A2,Kids,0,4,directs directed directing,0
725,1000,success,/səkˈsɛs/,"sự thành công, thành tựu, thắng lợi",Noun,Noun,A2,Kids,0,2,successes,0
726,1000,tomorrow,/təˈmɑːˌroʊ/,"ngày mai, hôm sau",Noun,Noun,A2,Kids,0,2,tomorrows,0
727,1000,director,/dərˈɛktər/,"giám đốc, đạo diễn, người điều hành",Noun,Noun,A2,Kids,0,2,directors,0
728,1000,clearly,/ˈklɪrli/,"rõ ràng, một cách rõ ràng, hiển nhiên",Adverb,Adverb,A2,Kids,0,1,,0
729,1000,lack,/læk/,"sự thiếu hụt, sự thiếu, tình trạng thiếu",Noun,Noun|Verb,A2,Kids,0,4,lacks lacked lacking,0
730,1000,review,/ˌriːˈvjuː/,"bài đánh giá, sự xem xét lại, bài phê bình",Noun,Noun|Verb,A2,Kids,0,4,reviews reviewed reviewing,0
731,1000,depend,/dɪˈpɛnd/,"phụ thuộc, tùy thuộc, dựa vào",Verb,Verb,A2,Kids,0,4,depends depended depending,0
732,1000,race,/reɪs/,"cuộc đua, cuộc chạy đua; chủng tộc",Noun,Noun|Verb,A2,Kids,0,4,races raced racing,1
733,1000,recognize,/ˈrɛkəɡˌnaɪz/,"nhận ra, công nhận, thừa nhận",Verb,Verb,A2,Kids,0,8,recognizes recognized recognizing recognise recognises recognised recognising,0
734,1000,window,/ˈwɪndoʊ/,"cửa sổ, ô cửa sổ",Noun,Noun,A2,Kids,0,4,windows windowed windowing,0
735,1000,purpose,/ˈpɜːrpəs/,"mục đích, ý định, mục tiêu",Noun,Noun|Verb,A2,Kids,0,4,purposes purposed purposing,0
736,1000,department,/dɪˈpɑːrtmənt/,"phòng ban, bộ phận, khoa",Noun,Noun,A2,Kids,0,2,departments,0
737,1000,gain,/ɡeɪn/,"đạt được, thu được, tăng thêm",Verb,Noun|Verb,A2,Kids,0,4,gains gained gaining,0
738,1000,tree,/triː/,"cái cây, cây cối, thân cây",Noun,Noun|Verb,A2,Kids,0,2,trees,0
739,1000,college,/ˈkɑːlɪdʒ/,"trường cao đẳng, trường đại học",Noun,Noun,A2,Kids,0,2,colleges,0
740,1000,argue,/ˈɑːrɡju/,"tranh cãi, lập luận, cãi nhau",Verb,Verb,A2,Kids,0,4,argues argued arguing,0
741,1000,board,/bɔːrd/,"ban lãnh đạo, hội đồng; tấm ván",Noun,Noun|Verb,A2,Kids,0,4,boards boarded boarding,1
742,1000,holiday,/ˈhɑːləˌdeɪ/,"ngày lễ, kỳ nghỉ, ngày nghỉ",Noun,Noun|Verb,A2,Kids,0,4,holidays holidayed holidaying,0
743,1000,mark,/mɑːrk/,"đánh dấu, ghi dấu, chấm điểm",Verb,Noun|Verb,A2,Kids,0,5,marks marked marking markings,0
744,1000,church,/tʃɜːrtʃ/,"nhà thờ, giáo hội, thánh đường",Noun,Noun|Verb,A2,Kids,0,4,churches churched churching,0
745,1000,machine,/məˈʃiːn/,"cỗ máy, máy móc, thiết bị",Noun,Noun|Adjective|Verb,A2,Kids,0,4,machines machined machining,0
746,1000,achieve,/əˈtʃiːv/,"đạt được, giành được, thực hiện được",Verb,Verb,A2,Kids,0,4,achieves achieved achieving,0
747,1000,item,/ˈaɪtəm/,"món đồ, hạng mục, khoản mục",Noun,Noun,A2,Kids,0,2,items,0
748,1000,prove,/pruːv/,"chứng minh, chứng tỏ, tỏ ra là",Verb,Verb,A2,Kids,0,5,proves proved proving proven,0
749,1000,cent,/sɛnt/,"xu, đồng xu, một phần trăm đô la",Noun,Noun,A2,Kids,0,2,cents,0
750,1000,season,/ˈsiːzən/,"mùa, mùa giải, thời vụ",Noun,Noun|Verb,A2,Kids,0,5,seasons seasoned seasoning seasonings,0
751,1000,floor,/flɔːr/,"sàn nhà, nền nhà, tầng nhà",Noun,Noun|Verb,A2,Kids,0,5,floors floored flooring floorings,0
752,1000,stuff,/stʌf/,"đồ đạc, thứ, đồ vật lặt vặt",Noun,Noun|Verb,A2,Kids,0,4,stuffs stuffed stuffing,0
753,1000,wide,/waɪd/,"rộng, rộng lớn, bao quát",Adjective,Adjective|Adverb|Noun,A2,Kids,0,3,wider widest,0
754,1000,anyone,/ˈɛniˌwʌn/,"bất cứ ai, ai đó, người nào",Pronoun,Pronoun,A2,Grammar,1,1,,0
755,1000,method,/ˈmɛθəd/,"phương pháp, cách thức, phương thức",Noun,Noun,A2,Kids,0,2,methods,0
756,1000,analysis,/əˈnæləsəs/,"sự phân tích, bài phân tích, sự mổ xẻ",Noun,Noun,A2,Kids,0,2,analyses,0
757,1000,election,/ɪˈlɛkʃən/,"cuộc bầu cử, sự bầu chọn",Noun,Noun,A2,Kids,0,2,elections,0
758,1000,military,/ˈmɪləˌtɛri/,"thuộc quân sự, thuộc quân đội, nhà binh",Adjective,Adjective|Noun,A2,Kids,0,2,militaries,0
759,1000,hotel,/hoʊˈtɛl/,"khách sạn, nhà nghỉ",Noun,Noun,A2,Kids,0,2,hotels,0
760,1000,club,/klʌb/,"câu lạc bộ, hội, đoàn thể",Noun,Noun|Verb,A2,Kids,0,4,clubs clubbed clubbing,0
761,1000,below,/bɪˈloʊ/,"ở dưới, bên dưới, phía dưới",Adverb,Adverb|Preposition,A2,Kids,0,1,,0
762,1000,movie,/ˈmuːvi/,"bộ phim, phim ảnh, phim chiếu rạp",Noun,Noun,A2,Kids,0,2,movies,0
763,1000,doctor,/ˈdɑːktər/,"bác sĩ, thầy thuốc; tiến sĩ",Noun,Noun|Verb,A2,Kids,0,4,doctors doctored doctoring,1
764,1000,discussion,/dɪˈskʌʃən/,"cuộc thảo luận, sự bàn bạc, cuộc trao đổi",Noun,Noun,A2,Kids,0,2,discussions,0
765,1000,sorry,/ˈsɑːri/,"xin lỗi, lấy làm tiếc, ân hận",Adjective,Adjective,A2,Kids,0,3,sorrier sorriest,0
766,1000,challenge,/ˈtʃæləndʒ/,"thử thách, thách thức, khó khăn",Noun,Noun|Verb,A2,Kids,0,4,challenges challenged challenging,0
767,1000,nation,/ˈneɪʃən/,"quốc gia, dân tộc, đất nước",Noun,Noun,A2,Kids,0,2,nations,0
768,1000,nearly,/ˈnɪrli/,"gần như, suýt nữa, gần",Adverb,Adverb,A2,Kids,0,1,,0
769,1000,statement,/ˈsteɪtmənt/,"lời tuyên bố, bản kê khai, phát biểu",Noun,Noun,A2,Kids,0,2,statements,0
770,1000,link,/lɪŋk/,"liên kết, nối, kết nối",Verb,Noun|Verb,A2,Kids,0,4,links linked linking,0
771,1000,despite,/dɪˈspaɪt/,"mặc dù, bất chấp, dù có",Preposition,Noun|Preposition,A2,Grammar,1,1,,0
772,1000,introduce,/ˌɪntrəˈduːs/,"giới thiệu, đưa vào, trình bày",Verb,Verb,A2,Kids,0,4,introduces introduced introducing,0
773,1000,advantage,/ædˈvæntɪdʒ/,"lợi thế, ưu thế, điều thuận lợi",Noun,Noun|Verb,A2,Kids,0,3,advantages advantaged,0
774,1000,ready,/ˈrɛdi/,"sẵn sàng, chuẩn bị xong, sẵn lòng",Adjective,Adjective|Adverb|Noun|Verb,A2,Kids,0,6,readies readied readying readier readiest,0
775,1000,marry,/ˈmɛri/,"kết hôn, cưới, lấy vợ lấy chồng",Verb,Verb|Interjection,A2,Kids,0,4,marries married marrying,0
776,1000,strike,/straɪk/,"đánh, đập, giáng đòn; đình công",Verb,Verb|Noun,A2,Kids,0,4,strikes struck striking,1
777,1000,mile,/maɪl/,"dặm, dặm Anh, một đơn vị đo chiều dài",Noun,Noun,A2,Kids,0,2,miles,0
778,1000,seek,/siːk/,"tìm kiếm, tìm, mưu cầu",Verb,Verb,A2,Kids,0,4,seeks sought seeking,0
779,1000,ability,/əˈbɪləˌtiː/,"khả năng, năng lực, tài năng",Noun,Noun,A2,Kids,0,2,abilities,0
780,1000,unit,/ˈjuːnət/,"đơn vị, bộ phận, căn hộ",Noun,Noun,A2,Kids,0,2,units,0
781,1000,card,/kɑːrd/,"tấm thẻ, tấm thiệp, quân bài",Noun,Noun|Verb,A2,Kids,0,4,cards carded carding,0
782,1000,hospital,/ˈhɑːˌspɪtəl/,"bệnh viện, nhà thương",Noun,Noun,A2,Kids,0,2,hospitals,0
783,1000,quickly,/ˈkwɪkli/,"nhanh chóng, mau lẹ, một cách nhanh",Adverb,Adverb,A2,Kids,0,1,,0
784,1000,interview,/ˈɪntərˌvjuː/,"cuộc phỏng vấn, buổi phỏng vấn",Noun,Noun|Verb,A2,Kids,0,4,interviews interviewed interviewing,0
785,1000,agreement,/əˈɡriːmənt/,"thỏa thuận, hiệp định, sự đồng ý",Noun,Noun,A2,Kids,0,2,agreements,0
786,1000,release,/riˈliːs/,"phát hành, thả ra, giải phóng",Verb,Noun|Verb,A2,Kids,0,4,releases released releasing,0
787,1000,tax,/tæks/,"thuế, tiền thuế, khoản thuế",Noun,Noun|Verb,A2,Kids,0,4,taxes taxed taxing,0
788,1000,solution,/səˈluːʃən/,"giải pháp, cách giải quyết; dung dịch",Noun,Noun|Verb,A2,Kids,0,2,solutions,1
789,1000,capital,/ˈkæpətəl/,"thủ đô; vốn, tiền vốn",Noun,Noun|Adjective,A2,Kids,0,2,capitals,1
790,1000,popular,/ˈpɑːpjələr/,"phổ biến, được ưa chuộng, thịnh hành",Adjective,Adjective,A2,Kids,0,1,,0
791,1000,specific,/spəˈsɪfɪk/,"cụ thể, riêng biệt, xác định",Adjective,Adjective|Noun,A2,Kids,0,2,specifics,0
792,1000,beautiful,/ˈbjuːtəfəl/,"đẹp, xinh đẹp, tuyệt đẹp",Adjective,Adjective,A2,Kids,0,1,,0
793,1000,fear,/fɪr/,"nỗi sợ hãi, sự lo sợ, nỗi lo",Noun,Noun|Verb,A2,Kids,0,4,fears feared fearing,0
794,1000,aim,/eɪm/,"nhắm, hướng tới, đặt mục tiêu",Verb,Noun|Verb,A2,Kids,0,4,aims aimed aiming,0
795,1000,television,/ˈtɛləˌvɪʒən/,"truyền hình, máy thu hình, vô tuyến",Noun,Noun,A2,Kids,0,2,televisions,0
796,1000,serious,/ˈsɪriəs/,"nghiêm trọng, nghiêm túc, đứng đắn",Adjective,Adjective,A2,Kids,0,1,,0
797,1000,target,/ˈtɑːrɡət/,"mục tiêu, cái đích, chỉ tiêu",Noun,Noun,A2,Kids,0,4,targets targeted targeting,0
798,1000,degree,/dɪˈɡriː/,"mức độ, cấp độ, độ; bằng cấp",Noun,Noun,A2,Kids,0,2,degrees,1
799,1000,pull,/pʊl/,"kéo, lôi, giật, kéo lê",Verb,Noun|Verb,A2,Kids,0,4,pulls pulled pulling,0
800,1000,red,/rɛd/,"màu đỏ, đỏ, đỏ thắm",Adjective,Adjective|Noun,A2,Kids,0,4,reds redder reddest,0
801,1000,husband,/ˈhʌzbənd/,"người chồng, ông xã",Noun,Noun|Verb,A2,Kids,0,4,husbands husbanded husbanding,0
802,1000,access,/ˈækˌsɛs/,"sự truy cập, quyền tiếp cận, lối vào",Noun,Noun,A2,Kids,0,4,accesses accessed accessing,0
803,1000,movement,/ˈmuːvmənt/,"sự chuyển động, cử động, phong trào",Noun,Noun,A2,Kids,0,2,movements,0
804,1000,treat,/triːt/,"đối xử, điều trị, chiêu đãi",Verb,Noun|Verb,A2,Kids,0,4,treats treated treating,0
805,1000,identify,/aɪˈdɛntəˌfaɪ/,"nhận diện, xác định, nhận ra",Verb,Verb,A2,Kids,0,4,identifies identified identifying,0
806,1000,loss,/lɔːs/,"sự mất mát, tổn thất, thua lỗ",Noun,Noun,A2,Kids,0,2,losses,0
807,1000,shall,/ʃæl/,"sẽ, sẽ phải, nên, hãy",Auxiliary,Auxiliary|Verb,A2,Grammar,1,1,,0
808,1000,modern,/ˈmɑːdərn/,"hiện đại, tân tiến, thời nay",Adjective,Adjective|Noun,A2,Kids,0,2,moderns,0
809,1000,pressure,/ˈprɛʃər/,"áp lực, sức ép, áp suất",Noun,Noun,A2,Kids,0,4,pressures pressured pressuring,0
810,1000,bus,/bʌs/,"xe buýt, xe khách, xe đò",Noun,Noun|Verb,A2,Kids,0,4,buses bused busing,0
811,1000,treatment,/ˈtriːtmənt/,"sự điều trị, cách chữa trị, cách đối xử",Noun,Noun,A2,Kids,0,2,treatments,0
812,1000,yourself,/jərˈsɛlf/,"chính bạn, tự bạn, bản thân bạn",Pronoun,Pronoun,A2,Grammar,1,2,yourselves,0
813,1000,supply,/səˈplaɪ/,"cung cấp, cung ứng, tiếp tế",Verb,Noun|Verb|Adverb,A2,Kids,0,4,supplies supplied supplying,0
814,1000,village,/ˈvɪlədʒ/,"làng, thôn, ngôi làng",Noun,Noun,A2,Kids,0,2,villages,0
815,1000,worth,/wɜːrθ/,"đáng giá, xứng đáng, có giá trị",Adjective,Adjective|Noun,A2,Kids,0,1,,0
816,1000,natural,/ˈnætʃərəl/,"tự nhiên, thiên nhiên, bẩm sinh",Adjective,Adjective|Noun,A2,Kids,0,2,naturals,0
817,1000,express,/ɪkˈsprɛs/,"bày tỏ, diễn đạt, thể hiện",Verb,Noun|Adjective|Adverb|Verb,A2,Kids,0,4,expresses expressed expressing,0
818,1000,indicate,/ˈɪndəˌkeɪt/,"chỉ ra, cho thấy, biểu thị",Verb,Verb,A2,Kids,0,4,indicates indicated indicating,0
819,1000,attend,/əˈtɛnd/,"tham dự, có mặt, dự",Verb,Verb,A2,Kids,0,4,attends attended attending,0
820,1000,brother,/ˈbrʌðər/,"anh trai, em trai, anh em",Noun,Noun,A2,Kids,0,2,brothers,0
821,1000,investment,/ˌɪnˈvɛstmənt/,"sự đầu tư, khoản đầu tư, vốn đầu tư",Noun,Noun,A2,Kids,0,2,investments,0
822,1000,score,/skɔːr/,"điểm số, tỉ số, bàn thắng",Noun,Noun|Verb,A2,Kids,0,5,scores scored scoring scorings,0
823,1000,organize,/ˈɔːrɡəˌnaɪz/,"tổ chức, sắp xếp, thu xếp",Verb,Verb,A2,Kids,0,8,organizes organized organizing organise organises organised organising,0
824,1000,trip,/trɪp/,"chuyến đi, cuộc hành trình, chuyến du lịch",Noun,Noun|Verb,A2,Kids,0,4,trips tripped tripping,0
825,1000,beyond,/bɪˈɑːnd/,"vượt quá, ngoài, bên kia",Preposition,Adverb|Preposition|Noun,A2,Grammar,1,1,,0
826,1000,sleep,/sliːp/,"ngủ, đi ngủ, an giấc",Verb,Noun|Verb,A2,Kids,0,4,sleeps slept sleeping,0
827,1000,fish,/fɪʃ/,"con cá, cá, loài cá",Noun,Noun|Verb,A2,Kids,0,4,fishes fished fishing,0
828,1000,promise,/ˈprɑːməs/,"hứa, hứa hẹn, cam kết",Verb,Noun|Verb,A2,Kids,0,4,promises promised promising,0
829,1000,potential,/pəˈtɛnʃəl/,"tiềm năng, tiềm tàng, có khả năng xảy ra",Adjective,Adjective|Noun,A2,Kids,0,2,potentials,0
830,1000,energy,/ˈɛnərdʒi/,"năng lượng, sức lực, nghị lực",Noun,Noun,A2,Kids,0,2,energies,0
831,1000,trouble,/ˈtrʌbəl/,"rắc rối, phiền phức, khó khăn",Noun,Noun|Verb,A2,Kids,0,4,troubles troubled troubling,0
832,1000,relation,/riˈleɪʃən/,"mối quan hệ, quan hệ, sự liên hệ",Noun,Noun,A2,Kids,0,2,relations,0
833,1000,touch,/tʌtʃ/,"chạm, sờ, đụng vào",Verb,Noun|Verb,A2,Kids,0,4,touches touched touching,0
834,1000,file,/faɪl/,"tập tin, hồ sơ, tập tài liệu",Noun,Noun|Verb,A2,Kids,0,5,files filed filing filings,0
835,1000,middle,/ˈmɪdəl/,"phần giữa, chính giữa, khoảng giữa",Noun,Noun|Adjective|Verb,A2,Kids,0,4,middles middled middling,0
836,1000,bar,/bɑːr/,"quán rượu, quầy bar; thanh, thỏi",Noun,Noun|Verb|Preposition,A2,Kids,0,4,bars barred barring,1
